game_id ,player_id ,passing_yards ,passing_tds ,interceptions ,rushing_yards ,rushing_tds ,receptions ,receiving_yards ,receiving_tds ,two_point_conversions ,fumbles_lost ,offensive_fumble_return_td 
5,16,290,5,0,65,0,0,0,0,0,0,0
5,17,0,0,0,0,0,6,53,0,0,0,0
5,18,0,0,0,0,0,2,24,1,0,0,0
5,19,0,0,0,0,0,2,17,0,0,0,0
5,20,0,0,0,0,0,0,0,0,0,0,0
5,21,0,0,0,0,0,1,26,0,0,0,0
5,22,0,0,0,7,0,5,61,1,0,0,0
5,23,0,0,0,0,0,0,0,0,0,0,0
5,24,142,0,1,3,0,0,0,0,0,0,0
5,25,0,0,0,0,0,0,0,0,0,0,0
5,26,0,0,0,0,0,0,0,0,0,0,0
5,27,0,0,0,0,0,0,0,0,0,0,0
5,28,0,0,0,0,0,4,61,0,0,0,0
5,29,0,0,0,0,0,2,31,0,0,0,0
5,30,0,0,0,0,0,0,0,0,0,0,0
5,31,0,0,0,0,0,0,0,0,0,0,0
